Version,Filename,NR,NAUTHORS,LOC,LOC_ADDED,AVGLOCADDED,MAXLOCADDED,CHURN,AVGCHURN,MAXCHURN,BUGGY
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java,0,0,39,0,0.0,0,0,0.0,0,No
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils.java,0,0,69,0,0.0,0,0,0.0,0,Yes
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ZkUtils.java,0,0,94,0,0.0,0,0,0.0,0,Yes
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/client/HedwigClient.java,0,0,72,0,0.0,0,0,0.0,0,No
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/client/api/Client.java,0,0,42,0,0.0,0,0,0.0,0,No
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/client/api/MessageHandler.java,0,0,48,0,0.0,0,0,0.0,0,No
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/client/api/Publisher.java,0,0,63,0,0.0,0,0,0.0,0,Yes
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/client/api/Subscriber.java,3,2,318,86,28.666666666666668,47,81,27.0,47,Yes
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkPublisher.java,1,1,136,3,3.0,3,3,3.0,3,Yes
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkSubscriber.java,1,1,141,4,4.0,4,4,4.0,4,Yes
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java,1,1,190,15,15.0,15,13,13.0,13,Yes
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java,0,0,46,0,0.0,0,0,0.0,0,No
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/HedwigBenchmark.java,1,1,165,59,59.0,59,37,37.0,37,No
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/client/conf/ClientConfiguration.java,1,1,162,13,13.0,13,13,13.0,13,No
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/client/data/MessageConsumeData.java,0,0,58,0,0.0,0,0,0.0,0,No
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java,1,1,148,9,9.0,9,1,1.0,1,Yes
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/client/data/TopicSubscriber.java,0,0,74,0,0.0,0,0,0.0,0,No
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/AlreadyStartDeliveryException.java,1,1,36,36,36.0,36,36,36.0,36,No
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/InvalidSubscriberIdException.java,0,0,37,0,0.0,0,0,0.0,0,No
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/ServerRedirectLoopException.java,0,0,38,0,0.0,0,0,0.0,0,No
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/TooManyServerRedirectsException.java,0,0,39,0,0.0,0,0,0.0,0,No
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/MessageConsumeCallback.java,0,0,96,0,0.0,0,0,0.0,0,Yes
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PubSubCallback.java,0,0,88,0,0.0,0,0,0.0,0,No
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PublishResponseHandler.java,0,0,71,0,0.0,0,0,0.0,0,No
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeReconnectCallback.java,1,1,114,14,14.0,14,0,0.0,0,No
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeResponseHandler.java,1,1,342,42,42.0,42,6,6.0,6,Yes
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/UnsubscribeResponseHandler.java,0,0,84,0,0.0,0,0,0.0,0,No
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ClientChannelPipelineFactory.java,0,0,58,0,0.0,0,0,0.0,0,No
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ConnectCallback.java,1,1,129,7,7.0,7,6,6.0,6,No
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClientImpl.java,1,1,363,5,5.0,5,6,6.0,6,Yes
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java,1,1,242,12,12.0,12,11,11.0,11,Yes
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java,4,1,682,120,30.0,38,96,24.0,37,Yes
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ResponseHandler.java,1,1,366,1,1.0,1,0,0.0,0,No
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/WriteCallback.java,1,1,103,5,5.0,5,4,4.0,4,No
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslClientContextFactory.java,0,0,41,0,0.0,0,0,0.0,0,No
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslContextFactory.java,0,0,66,0,0.0,0,0,0.0,0,No
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/conf/AbstractConfiguration.java,1,1,63,9,9.0,9,9,9.0,9,No
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/util/Callback.java,0,0,47,0,0.0,0,0,0.0,0,No
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/util/CallbackUtils.java,0,0,183,0,0.0,0,0,0.0,0,No
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/util/ConcurrencyUtils.java,0,0,49,0,0.0,0,0,0.0,0,No
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/util/Either.java,0,0,50,0,0.0,0,0,0.0,0,No
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/util/FileUtils.java,0,0,98,0,0.0,0,0,0.0,0,No
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/util/HedwigSocketAddress.java,1,1,143,5,5.0,5,5,5.0,5,No
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/util/Option.java,0,0,43,0,0.0,0,0,0.0,0,No
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/util/Pair.java,0,0,42,0,0.0,0,0,0.0,0,No
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/util/PathUtils.java,1,1,56,3,3.0,3,0,0.0,0,No
4.1.0,hedwig-protocol/src/main/java/org/apache/hedwig/exceptions/PubSubException.java,0,0,162,0,0.0,0,0,0.0,0,Yes
4.1.0,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,1,1,6523,6504,6504.0,6504,156,156.0,156,Yes
4.1.0,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/MessageIdUtils.java,0,0,153,0,0.0,0,0,0.0,0,No
4.1.0,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/PubSubResponseUtils.java,1,1,43,1,1.0,1,0,0.0,0,No
4.1.0,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/SubscriptionStateUtils.java,0,0,41,0,0.0,0,0,0.0,0,No
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/admin/HedwigAdmin.java,3,2,400,407,135.66666666666666,397,400,133.33333333333334,397,Yes
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/admin/console/HedwigCommands.java,2,1,425,428,214.0,424,425,212.5,424,Yes
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/admin/console/HedwigConsole.java,2,1,1041,1057,528.5,1029,1041,520.5,1029,Yes
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/admin/console/JLineHedwigCompletor.java,1,1,92,92,92.0,92,92,92.0,92,No
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/admin/console/ReadTopic.java,2,1,355,357,178.5,357,359,179.5,357,Yes
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/AbstractBenchmark.java,0,0,105,0,0.0,0,0,0.0,0,Yes
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookieBenchmark.java,0,0,105,0,0.0,0,0,0.0,0,Yes
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookkeeperBenchmark.java,0,0,92,0,0.0,0,0,0.0,0,Yes
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/FakeBookie.java,0,0,101,0,0.0,0,0,0.0,0,No
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/common/ByteStringInterner.java,0,0,45,0,0.0,0,0,0.0,0,Yes
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java,2,1,299,12,6.0,8,10,5.0,8,Yes
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/common/TerminateJVMExceptionHandler.java,1,1,32,1,1.0,1,0,0.0,0,No
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/common/TopicOpQueuer.java,0,0,111,0,0.0,0,0,0.0,0,No
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/common/UnexpectedError.java,0,0,35,0,0.0,0,0,0.0,0,No
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/ChannelEndPoint.java,1,1,85,4,4.0,4,4,4.0,4,Yes
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryCallback.java,0,0,27,0,0.0,0,0,0.0,0,No
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryEndPoint.java,0,0,28,0,0.0,0,0,0.0,0,No
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryManager.java,2,1,36,7,3.5,5,7,3.5,5,Yes
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java,2,1,574,11,5.5,8,8,4.0,5,Yes
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/BaseHandler.java,1,1,67,3,3.0,3,3,3.0,3,No
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ChannelDisconnectListener.java,0,0,29,0,0.0,0,0,0.0,0,No
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ConsumeHandler.java,1,1,72,8,8.0,8,8,8.0,8,No
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/Handler.java,0,0,37,0,0.0,0,0,0.0,0,No
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/NettyHandlerBean.java,2,1,51,52,26.0,51,51,25.5,51,No
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/NettyHandlerMXBean.java,1,1,31,31,31.0,31,31,31.0,31,No
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/PublishHandler.java,1,1,77,9,9.0,9,9,9.0,9,Yes
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/SubscribeHandler.java,1,1,168,14,14.0,14,14,14.0,14,Yes
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/UnsubscribeHandler.java,1,1,81,10,10.0,10,9,9.0,9,Yes
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/jmx/HedwigJMXService.java,1,1,37,37,37.0,37,37,37.0,37,No
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/jmx/HedwigMBeanInfo.java,1,1,27,27,27.0,27,27,27.0,27,No
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/jmx/HedwigMBeanRegistry.java,1,1,48,48,48.0,48,48,48.0,48,No
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServer.java,3,1,436,79,26.333333333333332,53,67,22.333333333333332,53,Yes
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServerBean.java,1,1,77,77,77.0,77,77,77.0,77,Yes
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServerMXBean.java,1,1,63,63,63.0,63,63,63.0,63,No
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServerPipelineFactory.java,0,0,76,0,0.0,0,0,0.0,0,No
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/netty/ServerStats.java,2,1,191,193,96.5,190,191,95.5,190,Yes
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/netty/UmbrellaHandler.java,1,1,160,1,1.0,1,1,1.0,1,No
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java,3,1,906,207,69.0,165,169,56.333333333333336,131,Yes
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheKey.java,0,0,74,0,0.0,0,0,0.0,0,No
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheValue.java,0,0,94,0,0.0,0,0,0.0,0,No
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/Factory.java,0,0,22,0,0.0,0,0,0.0,0,No
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/LocalDBPersistenceManager.java,2,1,481,62,31.0,50,54,27.0,42,No
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/MapMethods.java,0,0,62,0,0.0,0,0,0.0,0,No
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistRequest.java,0,0,58,0,0.0,0,0,0.0,0,No
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManager.java,1,1,94,3,3.0,3,3,3.0,3,No
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManagerWithRangeScan.java,0,0,27,0,0.0,0,0,0.0,0,No
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/RangeScanRequest.java,0,0,77,0,0.0,0,0,0.0,0,No
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ReadAheadCache.java,3,1,744,43,14.333333333333334,29,40,13.333333333333334,28,Yes
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ReadAheadCacheBean.java,1,1,64,64,64.0,64,64,64.0,64,Yes
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ReadAheadCacheMXBean.java,1,1,45,45,45.0,45,45,45.0,45,No
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallback.java,0,0,63,0,0.0,0,0,0.0,0,No
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallbackWithContext.java,0,0,37,0,0.0,0,0,0.0,0,No
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanRequest.java,0,0,64,0,0.0,0,0,0.0,0,No
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ChannelTracker.java,0,0,124,0,0.0,0,0,0.0,0,No
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/HedwigProxy.java,2,1,172,21,10.5,11,12,6.0,10,No
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConfiguration.java,1,1,36,2,2.0,2,0,0.0,0,No
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConsumeHandler.java,0,0,58,0,0.0,0,0,0.0,0,No
